companyName,symbol,sector,avgTotalVolume,latestPrice,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,ytdChange
SandRidge Energy Inc.,SD,Energy,381204,11.53,0.0,0.0,0.0,0.0,-0.4381905968735196
SandRidge Mississippian Trust II representing Beneficial Interests,SDR,Energy,139566,1.337,0.0,0.0,0.0,0.0,0.7314923146632647
Dorchester Minerals L.P.,DMLP,Energy,56356,19.63,0.0,0.0,0.0,0.0,0.3865963331683516
Lonestar Resources US Inc.,LONE,Energy,199680,8.54,8.56,100.0,0.0,0.0,0.8306983224400872
Matrix Service Company,MTRX,Energy,215950,24.64,0.0,0.0,0.0,0.0,0.3399621311475408
Cenovus Energy Inc,CVE,Energy,3529323,10.345,10.37,600.0,10.34,200.0,0.07180477701721633
Laredo Petroleum Inc.,LPI,Energy,5785033,7.765,7.77,934.0,7.76,200.0,-0.2812375451263538
BP p.l.c.,BP,Energy,6078579,46.94,46.95,300.0,46.94,100.0,0.15441100571510108
Pacific Ethanol Inc.,PEIX,Energy,336319,2.14,2.21,100.0,0.0,0.0,-0.5161800000000001
Eclipse Resources Corporation,ECR,Energy,1744094,1.395,1.39,100.0,0.0,0.0,-0.4070754716981132
Exxon Mobil Corporation,XOM,Energy,10605813,86.23,89.2,300.0,86.1,100.0,0.04566911180600924
Nustar Energy L.P.,NS,Energy,617831,28.78,0.0,0.0,18.79,100.0,0.04465099672888207
Gulf Island Fabrication Inc.,GIFI,Energy,34027,10.01,0.0,0.0,0.0,0.0,-0.26719146520146525
Pembina Pipeline Corp. (Canada),PBA,Energy,423465,35.41,35.44,100.0,35.38,100.0,0.012285280395206306
MPLX LP Representing Limited Partner Interests,MPLX,Energy,1322497,35.685,35.7,100.0,35.67,100.0,0.04132596665051349
Antero Midstream Partners LP representing limited partner interests,AM,Energy,531380,29.5,29.59,100.0,0.0,0.0,0.050084580365791054
Global Partners LP representing Limited Partner Interests,GLP,Energy,49126,18.131,0.0,0.0,0.0,0.0,0.10835827972754217
Bristow Group Inc.,BRS,Energy,514698,12.36,0.0,0.0,0.0,0.0,-0.11788132008516675
MRC Global Inc.,MRC,Energy,727903,19.065,19.08,100.0,0.0,0.0,0.1054753631609528
NCS Multistage Holdings Inc.,NCSM,Energy,87520,16.785,0.0,0.0,0.0,0.0,0.05820601513240861
TransAtlantic Petroleum Ltd (Bermuda),TAT,Energy,61761,1.41,0.0,0.0,0.0,0.0,-0.02235103448275856
EP Energy Corporation Class A,EPE,Energy,1046564,2.515,0.0,0.0,2.51,100.0,0.0049271713147410745
Petroleo Brasileiro S.A.- Petrobras American Depositary Shares,PBR.A,Energy,7550125,12.19,12.19,300.0,12.18,1600.0,0.18542003913894312
Energy Transfer Partners L.P. Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,ETP-C,Energy,81692,25.2,0.0,0.0,0.0,0.0,0.03536439834024891
Phillips 66 Partners LP representing limited partner interest in the Partnership,PSXP,Energy,274195,52.93,52.95,100.0,0.0,0.0,0.032597965817302114
PetroChina Company Limited,PTR,Energy,102516,82.49,82.61,100.0,70.0,200.0,0.17577495278789518
Ranger Energy Services Inc. Class A,RNGR,Energy,27447,8.28,8.35,100.0,0.0,0.0,-0.09625721311475408
EQT Corporation,EQT,Energy,2664773,44.48,0.0,0.0,0.0,0.0,-0.2381795971234333
NOW Inc.,DNOW,Energy,1065806,17.05,17.08,100.0,17.06,100.0,0.4628646320346319
GulfMark Offshore Inc.,GLF,Energy,17268,37.0,0.0,0.0,0.0,0.0,0.34774181818181826
Zion Oil & Gas Inc,ZN,Energy,831911,1.075,0.0,0.0,0.0,0.0,-0.5814884848484849
TransMontaigne Partners L.P. Transmontaigne Partners L.P. representing limited partner interests,TLP,Energy,18772,38.71,0.0,0.0,0.0,0.0,0.00878144329171512
Matador Resources Company,MTDR,Energy,1211248,33.96,0.0,0.0,0.0,0.0,0.073786492560937
Recon Technology Ltd.,RCON,Energy,78546,1.21,0.0,0.0,0.0,0.0,-0.04351417322834654
Geospace Technologies Corporation,GEOS,Energy,55660,13.73,0.0,0.0,0.0,0.0,0.016855101814142882
