Symbol,Beta,MktCap,industry
SD,0.4905850000000001,512887042.0,Oil & Gas - E&P;
SDR,1.056985,47959763.0,Oil & Gas - E&P;
DMLP,0.732287,534230260.0,Oil & Gas - E&P;
LONE,2.659207,99016954.0,Oil & Gas - E&P;
MTRX,0.8114319999999999,386165722.0,Oil & Gas - Services
CVE,0.686239,10001597088.0,Oil & Gas - Integrated
LPI,1.236905,2134306618.0,Oil & Gas - E&P;
BP,0.904251,130000000000.0,Oil & Gas - Integrated
PEIX,1.972178,149464479.0,Oil & Gas - Refining & Marketing
ECR,2.875021,395319579.0,Oil & Gas - E&P;
XOM,0.928777,309000000000.0,Oil & Gas - Integrated
NS,1.4777790000000002,1867367881.0,Oil & Gas - Midstream
GIFI,1.210659,123353158.0,Industrial Products
PBA,0.642451,15497935250.0,Oil & Gas - Midstream
MPLX,1.283497,26301256459.0,Oil & Gas - Midstream
AM,1.763053,4682710928.0,Oil & Gas - Midstream
GLP,0.861883,535430117.0,Oil & Gas - Midstream
BRS,2.94294,464500588.0,Oil & Gas - Services
MRC,1.446841,1514695477.0,Oil & Gas - Services
ANDV,1.293718,15431863618.0,Oil & Gas - Refining & Marketing
NCSM,0.510559,696602966.0,Oil & Gas - Services
TAT,1.581359,68521840.0,Oil & Gas - E&P;
EPE,4.332218,387533991.0,Oil & Gas - E&P;
PSXP,1.437049,5713882073.0,Oil & Gas - Midstream
PTR,1.461908,125000000000.0,Oil & Gas - Integrated
RNGR,2.337082,118567616.0,Oil & Gas - Services
EQT,0.719536,12752888060.0,Oil & Gas - E&P;
DNOW,0.851617,1095428641.0,Oil & Gas - Services
GLF,0.109385,836979310.0,Oil & Gas - Services
ZN,-0.025918,297150123.0,Oil & Gas - E&P;
TLP,0.213746,579329344.0,Oil & Gas - Midstream
MTDR,1.231132,3180231025.0,Oil & Gas - E&P;
RCON,2.157828,18506690.0,Oil & Gas - Services
GEOS,1.370819,135092370.0,Oil & Gas - Services
PSX,1.082451,46810555089.0,Oil & Gas - Refining & Marketing
NBR,1.57773,2316049992.0,Oil & Gas - Drilling
REN,3.239116,775728379.0,Oil & Gas - E&P;
UPL,2.010856,805021618.0,Oil & Gas - E&P;
SBOW,0.433513,335135506.0,Oil & Gas - E&P;
TK,1.35391,783003702.0,Oil & Gas - Integrated
OBE,4.362118,489664665.0,Oil & Gas - E&P;
LGCYO,2.839099,57120000.0,Oil & Gas - E&P;
MPC,1.3496709999999998,33814577364.0,Oil & Gas - Refining & Marketing
REI,0.410528,846036286.0,Oil & Gas - E&P;
DK,1.473954,3262775852.0,Oil & Gas - Refining & Marketing
ENBL,1.857559,5705765998.0,Oil & Gas - Midstream
WMB,1.3497940000000002,21212672895.0,Oil & Gas - Midstream
NR,1.502727,744975151.0,Oil & Gas - Services
BTE,2.993317,663971527.0,Oil & Gas - E&P;
CCLP,1.6880400000000002,283135536.0,Oil & Gas - Services
MNGA,-0.443035,100183.0,Oil & Gas - Integrated
TTI,0.663783,479520600.0,Oil & Gas - Services
HEP,0.8197760000000001,2789627308.0,Oil & Gas - Midstream
FTI,0.8457899999999999,13606617029.0,Oil & Gas - Services
BHGE,0.185027,32983330938.0,Oil & Gas - Services
FANG,0.8219299999999999,12561486300.0,Oil & Gas - E&P;
KMI,0.625918,33113060927.0,Oil & Gas - Midstream
SDRL,2.756621,117939073.0,Oil & Gas - Drilling
WLL,2.950373,3104072806.0,Oil & Gas - E&P;
COG,0.412929,10841507712.0,Oil & Gas - E&P;
EGN,1.484916,5611486495.0,Oil & Gas - E&P;
FGP,0.591327,302144788.0,Retail - Apparel & Specialty
EC,1.338134,39184210030.0,Oil & Gas - Integrated
ENB,0.6637,50697451256.0,Oil & Gas - Midstream
NBLX,1.934224,1857722458.0,Oil & Gas - Midstream
UNT,2.946661,1039372404.0,Oil & Gas - Drilling
LLEX,-1.253294,212133614.0,Oil & Gas - E&P;
